timestamp,station_id,location,current_aqi,pm2_5,pm10,temperature,humidity,wind_speed,wind_direction,atmospheric_pressure,rainfall,pbl_height_m,hour,day,day_of_week,month,previous_1_hour_AQI,previous_3_hour_AQI,previous_6_hour_AQI,rolling_3_hour_AQI,rolling_6_hour_AQI,rolling_12_hour_AQI,previous_PM2.5,previous_PM10,_dt,target_1h_aqi,target_6h_aqi,target_24h_aqi
2026-01-01T00:00:00,DELHI_ANAND_VIHAR,Anand Vihar,414,186.2,283.3,10.5,93.6,3.3,253.3,1017.1,0.0,394.0,0,1,3,1,414.0,414.0,414.0,414.0,414.0,414.0,186.2,283.3,2026-01-01 00:00:00,446.0,500.0,500.0
2026-01-01T01:00:00,DELHI_ANAND_VIHAR,Anand Vihar,446,203.5,299.6,7.9,93.6,2.9,244.8,1017.3,0.0,329.4,1,1,3,1,414.0,446.0,446.0,414.0,414.0,414.0,186.2,283.3,2026-01-01 01:00:00,475.0,500.0,500.0
2026-01-01T02:00:00,DELHI_ANAND_VIHAR,Anand Vihar,475,212.8,316.4,10.4,98.0,2.4,309.6,1017.2,0.0,386.1,2,1,3,1,446.0,475.0,475.0,430.0,430.0,430.0,203.5,299.6,2026-01-01 02:00:00,480.0,500.0,500.0
2026-01-01T03:00:00,DELHI_ANAND_VIHAR,Anand Vihar,480,216.1,338.6,8.4,97.5,2.7,271.7,1016.6,0.0,421.1,3,1,3,1,475.0,414.0,480.0,445.0,445.0,445.0,212.8,316.4,2026-01-01 03:00:00,493.0,500.0,500.0
2026-01-01T04:00:00,DELHI_ANAND_VIHAR,Anand Vihar,493,216.7,362.9,6.2,98.0,5.0,275.8,1019.4,0.0,329.5,4,1,3,1,480.0,446.0,493.0,467.0,453.75,453.75,216.1,338.6,2026-01-01 04:00:00,500.0,500.0,500.0
2026-01-01T05:00:00,DELHI_ANAND_VIHAR,Anand Vihar,500,230.3,385.8,6.8,93.8,2.9,278.0,1017.9,0.0,346.2,5,1,3,1,493.0,475.0,500.0,482.6666666666667,461.6,461.6,216.7,362.9,2026-01-01 05:00:00,500.0,500.0,500.0
2026-01-01T06:00:00,DELHI_ANAND_VIHAR,Anand Vihar,500,235.3,406.6,8.5,92.9,3.8,251.1,1018.7,0.0,371.1,6,1,3,1,500.0,480.0,414.0,491.0,468.0,468.0,230.3,385.8,2026-01-01 06:00:00,500.0,500.0,500.0
2026-01-01T07:00:00,DELHI_ANAND_VIHAR,Anand Vihar,500,273.2,443.7,12.3,91.2,2.8,279.8,1015.5,0.0,398.1,7,1,3,1,500.0,493.0,446.0,497.6666666666667,482.3333333333333,472.57142857142856,235.3,406.6,2026-01-01 07:00:00,500.0,500.0,500.0
2026-01-01T08:00:00,DELHI_ANAND_VIHAR,Anand Vihar,500,295.1,469.9,8.5,88.5,2.3,253.7,1018.6,0.0,425.2,8,1,3,1,500.0,500.0,475.0,500.0,491.3333333333333,476.0,273.2,443.7,2026-01-01 08:00:00,500.0,500.0,500.0
2026-01-01T09:00:00,DELHI_ANAND_VIHAR,Anand Vihar,500,304.5,476.9,12.8,83.0,2.3,263.5,1015.4,0.0,632.8,9,1,3,1,500.0,500.0,480.0,500.0,495.5,478.6666666666667,295.1,469.9,2026-01-01 09:00:00,500.0,500.0,500.0
2026-01-01T10:00:00,DELHI_ANAND_VIHAR,Anand Vihar,500,308.1,500.8,15.7,78.7,3.6,271.6,1015.4,0.0,767.2,10,1,3,1,500.0,500.0,493.0,500.0,498.8333333333333,480.8,304.5,476.9,2026-01-01 10:00:00,500.0,500.0,500.0
2026-01-01T11:00:00,DELHI_ANAND_VIHAR,Anand Vihar,500,292.5,493.6,13.0,71.4,3.1,271.7,1015.0,0.0,937.6,11,1,3,1,500.0,500.0,500.0,500.0,500.0,482.54545454545456,308.1,500.8,2026-01-01 11:00:00,500.0,500.0,500.0
2026-01-01T12:00:00,DELHI_ANAND_VIHAR,Anand Vihar,500,262.7,457.3,18.6,65.6,6.1,277.1,1011.9,0.0,1019.2,12,1,3,1,500.0,500.0,500.0,500.0,500.0,484.0,292.5,493.6,2026-01-01 12:00:00,500.0,500.0,500.0
2026-01-01T13:00:00,DELHI_ANAND_VIHAR,Anand Vihar,500,245.8,449.6,18.2,62.7,4.4,275.1,1014.0,0.0,1151.0,13,1,3,1,500.0,500.0,500.0,500.0,500.0,491.1666666666667,262.7,457.3,2026-01-01 13:00:00,500.0,500.0,500.0
2026-01-01T14:00:00,DELHI_ANAND_VIHAR,Anand Vihar,500,239.5,426.8,21.0,57.0,4.9,299.7,1014.0,0.0,1136.0,14,1,3,1,500.0,500.0,500.0,500.0,500.0,495.6666666666667,245.8,449.6,2026-01-01 14:00:00,500.0,500.0,500.0
2026-01-01T15:00:00,DELHI_ANAND_VIHAR,Anand Vihar,500,236.7,403.4,22.6,63.5,4.8,256.0,1012.0,0.0,1099.6,15,1,3,1,500.0,500.0,500.0,500.0,500.0,497.75,239.5,426.8,2026-01-01 15:00:00,500.0,500.0,500.0
2026-01-01T16:00:00,DELHI_ANAND_VIHAR,Anand Vihar,500,226.0,394.1,18.6,59.4,6.9,274.5,1014.1,0.0,1125.0,16,1,3,1,500.0,500.0,500.0,500.0,500.0,499.4166666666667,236.7,403.4,2026-01-01 16:00:00,500.0,500.0,500.0
2026-01-01T17:00:00,DELHI_ANAND_VIHAR,Anand Vihar,500,222.0,400.8,18.7,61.9,6.6,284.3,1014.3,0.0,883.8,17,1,3,1,500.0,500.0,500.0,500.0,500.0,500.0,226.0,394.1,2026-01-01 17:00:00,500.0,500.0,500.0
2026-01-01T18:00:00,DELHI_ANAND_VIHAR,Anand Vihar,500,232.8,430.9,18.6,67.2,5.3,284.4,1014.4,0.0,788.7,18,1,3,1,500.0,500.0,500.0,500.0,500.0,500.0,222.0,400.8,2026-01-01 18:00:00,500.0,500.0,500.0
2026-01-01T19:00:00,DELHI_ANAND_VIHAR,Anand Vihar,500,251.4,454.0,18.1,66.2,4.3,298.9,1012.9,0.0,635.2,19,1,3,1,500.0,500.0,500.0,500.0,500.0,500.0,232.8,430.9,2026-01-01 19:00:00,500.0,500.0,500.0
2026-01-01T20:00:00,DELHI_ANAND_VIHAR,Anand Vihar,500,278.6,508.7,15.2,71.8,3.8,295.3,1014.7,0.0,440.5,20,1,3,1,500.0,500.0,500.0,500.0,500.0,500.0,251.4,454.0,2026-01-01 20:00:00,500.0,500.0,500.0
