timestamp,location,latitude,longitude,AQI,PM2.5,PM10,NO2,SO2,CO,O3,temperature,humidity,wind_speed,wind_direction,atmospheric_pressure,rainfall,estimated_pbl_height_m,ventilation_index,atmospheric_stagnation_index,pm_ratio,pm2_5_roll_3h,pm10_roll_3h,aqi_roll_3h,hour,day,day_of_week,month,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,previous_1_hour_AQI,previous_3_hour_AQI,previous_6_hour_AQI,rolling_3_hour_AQI,rolling_6_hour_AQI,rolling_12_hour_AQI,previous_PM2.5,previous_PM10
2026-09-02 00:00:00+00:00,Delhi,28.6139,77.209,425,280.5,471.3,79.5,18.0,2.76,19.6,21.5,78.9,3.2,304.5,1011.8,0.0,350.0,311.1,0.731,0.595,280.5,471.3,425.0,0,2,2,9,0.0,1.0,0.9749,-0.2225,425,425,425,425.0,425.0,425.0,280.5,471.3
2026-09-02 01:00:00+00:00,Delhi,28.6139,77.209,407,259.4,438.1,50.0,16.2,1.74,16.8,20.0,82.9,2.2,303.9,1011.5,0.0,350.0,213.9,0.798,0.592,269.95,454.7,416.0,1,2,2,9,0.2588,0.9659,0.9749,-0.2225,425,425,425,425.0,425.0,425.0,280.5,471.3
2026-09-02 02:00:00+00:00,Delhi,28.6139,77.209,411,264.1,447.7,49.9835,16.1,1.73835,19.2,20.7,84.2,2.4,309.8,1011.3,0.0,350.0,233.3,0.799,0.59,268.0,452.37,414.3,2,2,2,9,0.5,0.866,0.9749,-0.2225,407,425,425,416.0,416.0,416.0,259.4,438.1
2026-09-02 03:00:00+00:00,Delhi,28.6139,77.209,419,271.6,461.4,50.6,16.4,1.76,16.4,21.0,82.5,2.5,314.8,1010.4,0.0,350.0,243.1,0.783,0.589,265.03,449.07,412.3,3,2,2,9,0.7071,0.7071,0.9749,-0.2225,411,425,425,414.3,414.3,414.3,264.1,447.7
2026-09-02 04:00:00+00:00,Delhi,28.6139,77.209,461,312.063,530.627,58.2,18.8,2.02,17.5,21.9,81.8,4.2,307.1,1009.9,0.0,350.0,408.3,0.711,0.588,282.59,479.91,430.3,4,2,2,9,0.866,0.5,0.9749,-0.2225,419,407,425,412.3,415.5,415.5,271.6,461.4
2026-09-02 05:00:00+00:00,Delhi,28.6139,77.209,447,300.0,509.8,79.9,18.1,2.77,16.2,22.3,79.8,4.6,306.1,1009.5,0.0,350.0,447.2,0.681,0.588,294.55,500.61,442.3,5,2,2,9,0.9659,0.2588,0.9749,-0.2225,461,411,425,430.3,424.6,424.6,312.06,530.63
2026-09-02 06:00:00+00:00,Delhi,28.6139,77.209,398,247.9,420.3,72.7,16.7,2.53,18.5,23.1,72.9,4.4,289.7,1009.1,0.0,350.0,427.8,0.643,0.59,286.65,486.91,435.3,6,2,2,9,1.0,0.0,0.9749,-0.2225,447,419,425,442.3,428.3,428.3,300.0,509.8
2026-09-02 07:00:00+00:00,Delhi,28.6139,77.209,406,257.6,435.1,77.2,17.7,2.69,18.4,24.7,68.5,5.8,286.5,1009.7,0.0,483.6,779.1,0.558,0.592,268.5,455.07,417.0,7,2,2,9,0.9659,-0.2588,0.9749,-0.2225,398,461,407,435.3,423.8,424.0,247.9,420.3
2026-09-02 08:00:00+00:00,Delhi,28.6139,77.209,356,192.3,323.2,98.7,17.2,3.48,27.9,26.0,65.1,6.8,285.1,1010.2,0.0,618.8,1168.8,0.495,0.595,232.6,392.87,386.7,8,2,2,9,0.866,-0.5,0.9749,-0.2225,406,447,411,417.0,423.7,421.8,257.6,435.1
2026-09-02 09:00:00+00:00,Delhi,28.6139,77.209,344,176.4,294.5,93.7,16.3,3.3,37.2,28.3,60.5,9.2,279.0,1010.2,0.0,750.8,1918.7,0.369,0.599,208.77,350.93,368.7,9,2,2,9,0.7071,-0.7071,0.9749,-0.2225,356,398,419,386.7,414.5,414.4,192.3,323.2
2026-09-02 10:00:00+00:00,Delhi,28.6139,77.209,340,172.1,285.2,94.9,16.5,3.35,49.8,29.0,56.2,10.5,278.3,1011.2,0.0,864.5,2521.5,0.288,0.603,180.27,300.97,346.7,10,2,2,9,0.5,-0.866,0.9749,-0.2225,344,406,461,368.7,402.0,407.4,176.4,294.5
2026-09-02 11:00:00+00:00,Delhi,28.6139,77.209,339,170.5,280.2,72.5,17.0,2.55,60.1,30.7,48.7,10.2,281.7,1011.4,0.0,969.7,2747.5,0.25,0.608,173.0,286.63,341.0,11,2,2,9,0.2588,-0.9659,0.9749,-0.2225,340,356,447,346.7,381.8,401.3,172.1,285.2
