timestamp,location,latitude,longitude,AQI,PM2.5,PM10,NO2,SO2,CO,O3,temperature,humidity,wind_speed,wind_direction,atmospheric_pressure,rainfall
2026-09-02T00:00:00Z,Delhi,28.6139,77.209,425,280.5,471.3,79.5,18.0,2.76,19.6,21.5,78.9,3.2,304.5,1011.8,0.0
2026-09-02T01:00:00Z,Delhi,28.6139,77.209,407,259.4,438.1,50.0,16.2,1.74,16.8,20.0,82.9,2.2,303.9,1011.5,0.0
2026-09-02T02:00:00Z,Delhi,28.6139,77.209,411,264.1,447.7,49.9,16.1,1.73,19.2,20.7,84.2,2.4,309.8,1011.3,0.0
2026-09-02T03:00:00Z,Delhi,28.6139,77.209,419,271.6,461.4,50.6,16.4,1.76,16.4,21.0,82.5,2.5,314.8,1010.4,0.0
2026-09-02T04:00:00Z,Delhi,28.6139,77.209,461,313.9,533.8,58.2,18.8,2.02,17.5,21.9,81.8,4.2,307.1,1009.9,0.0
2026-09-02T05:00:00Z,Delhi,28.6139,77.209,447,300.0,509.8,79.9,18.1,2.77,16.2,22.3,79.8,4.6,306.1,1009.5,0.0
2026-09-02T06:00:00Z,Delhi,28.6139,77.209,398,247.9,420.3,72.7,16.7,2.53,18.5,23.1,72.9,4.4,289.7,1009.1,0.0
2026-09-02T07:00:00Z,Delhi,28.6139,77.209,406,257.6,435.1,77.2,17.7,2.69,18.4,24.7,68.5,5.8,286.5,1009.7,0.0
2026-09-02T08:00:00Z,Delhi,28.6139,77.209,356,192.3,323.2,98.7,17.2,3.48,27.9,26.0,65.1,6.8,285.1,1010.2,0.0
2026-09-02T09:00:00Z,Delhi,28.6139,77.209,344,176.4,294.5,93.7,16.3,3.3,37.2,28.3,60.5,9.2,279.0,1010.2,0.0
2026-09-02T10:00:00Z,Delhi,28.6139,77.209,340,172.1,285.2,94.9,16.5,3.35,49.8,29.0,56.2,10.5,278.3,1011.2,0.0
2026-09-02T11:00:00Z,Delhi,28.6139,77.209,339,170.5,280.2,72.5,17.0,2.55,60.1,30.7,48.7,10.2,281.7,1011.4,0.0
2026-09-02T12:00:00Z,Delhi,28.6139,77.209,323,150.1,244.8,66.3,15.6,2.34,62.7,31.5,45.3,12.4,280.2,1011.5,0.0
2026-09-02T13:00:00Z,Delhi,28.6139,77.209,338,168.9,273.2,77.2,18.1,2.72,63.8,32.5,46.1,11.7,271.8,1011.5,0.0
2026-09-02T14:00:00Z,Delhi,28.6139,77.209,326,153.2,246.2,71.9,16.9,2.53,59.3,33.3,45.8,11.0,286.4,1011.2,0.0
2026-09-02T15:00:00Z,Delhi,28.6139,77.209,330,158.6,254.0,75.8,17.8,2.67,53.6,32.5,42.7,11.7,283.5,1010.8,0.0
